"True Negative","False Negative","False Positive","True Positive","Mean Of Bought Returns","Models","Window","Sector"
2436,533,28,83,7.44308345531532,"test.ada","2013-11-01to2013-11-29","Consumer Discretionary"
2443,548,21,68,6.44887945505618,"test.voted","2013-11-01to2013-11-29","Consumer Discretionary"
2319,476,145,140,3.03958031674035,"test.voted.prob","2013-11-01to2013-11-29","Consumer Discretionary"
2957,0,0,739,6.783346532341,"test.actual","2013-06-03to2013-11-29","Financials"
2926,710,31,29,4.61796273716667,"test.ksvm","2013-06-03to2013-11-29","Financials"
2564,604,393,135,1.77035886398864,"test.nnet","2013-06-03to2013-11-29","Financials"
2911,675,46,64,5.15519338754545,"test.rf","2013-06-03to2013-11-29","Financials"
2858,693,99,46,2.79338840586207,"test.ada","2013-06-03to2013-11-29","Financials"
2940,721,17,18,5.12867759428571,"test.voted","2013-06-03to2013-11-29","Financials"
2849,672,108,67,3.43002669482857,"test.voted.prob","2013-06-03to2013-11-29","Financials"
2957,0,0,739,6.783346532341,"test.actual","2013-09-02to2013-11-29","Financials"
2907,697,50,42,3.57151445434783,"test.ksvm","2013-09-02to2013-11-29","Financials"
2518,575,439,164,1.68134389741128,"test.nnet","2013-09-02to2013-11-29","Financials"
2889,652,68,87,4.38753942306452,"test.rf","2013-09-02to2013-11-29","Financials"
2891,700,66,39,2.84739393028571,"test.ada","2013-09-02to2013-11-29","Financials"
2934,715,23,24,3.89877456106383,"test.voted","2013-09-02to2013-11-29","Financials"
2872,666,85,73,3.45048259572785,"test.voted.prob","2013-09-02to2013-11-29","Financials"
2957,0,0,739,6.783346532341,"test.actual","2013-11-01to2013-11-29","Financials"
2864,653,93,86,3.2264234172067,"test.ksvm","2013-11-01to2013-11-29","Financials"
2413,503,544,236,1.48862169711667,"test.nnet","2013-11-01to2013-11-29","Financials"
2749,530,208,209,3.60204893346523,"test.rf","2013-11-01to2013-11-29","Financials"
2782,598,175,141,2.91377895499684,"test.ada","2013-11-01to2013-11-29","Financials"
2869,642,88,97,3.74311110816216,"test.voted","2013-11-01to2013-11-29","Financials"
2743,573,214,166,2.55966969275,"test.voted.prob","2013-11-01to2013-11-29","Financials"
123,0,0,31,8.92268183548387,"test.actual","2013-06-03to2013-11-29","Telecommunication Services"
123,29,0,2,9.81681325,"test.ksvm","2013-06-03to2013-11-29","Telecommunication Services"
111,31,12,0,-3.76047988608333,"test.nnet","2013-06-03to2013-11-29","Telecommunication Services"
123,24,0,7,9.32277614285714,"test.rf","2013-06-03to2013-11-29","Telecommunication Services"
123,30,0,1,9.61665,"test.ada","2013-06-03to2013-11-29","Telecommunication Services"
123,31,123,31,NA,"test.voted","2013-06-03to2013-11-29","Telecommunication Services"
123,31,123,31,NA,"test.voted.prob","2013-06-03to2013-11-29","Telecommunication Services"
123,0,0,31,8.92268183548387,"test.actual","2013-09-02to2013-11-29","Telecommunication Services"
123,29,0,2,9.81681325,"test.ksvm","2013-09-02to2013-11-29","Telecommunication Services"
104,28,19,3,1.32773732409091,"test.nnet","2013-09-02to2013-11-29","Telecommunication Services"
123,20,0,11,10.4871597727273,"test.rf","2013-09-02to2013-11-29","Telecommunication Services"
123,24,0,7,10.2123531428571,"test.ada","2013-09-02to2013-11-29","Telecommunication Services"
123,29,0,2,9.81681325,"test.voted","2013-09-02to2013-11-29","Telecommunication Services"
123,28,0,3,8.35557366666667,"test.voted.prob","2013-09-02to2013-11-29","Telecommunication Services"
123,0,0,31,8.92268183548387,"test.actual","2013-11-01to2013-11-29","Telecommunication Services"
115,21,8,10,5.58249513333333,"test.ksvm","2013-11-01to2013-11-29","Telecommunication Services"
87,16,36,15,3.01133032647059,"test.nnet","2013-11-01to2013-11-29","Telecommunication Services"
121,12,2,19,8.99193166190476,"test.rf","2013-11-01to2013-11-29","Telecommunication Services"
123,20,0,11,10.3649670909091,"test.ada","2013-11-01to2013-11-29","Telecommunication Services"
123,19,0,12,10.2904497916667,"test.voted","2013-11-01to2013-11-29","Telecommunication Services"
115,17,8,14,6.42756901818182,"test.voted.prob","2013-11-01to2013-11-29","Telecommunication Services"
827,0,0,207,3.87091020628019,"test.actual","2013-06-03to2013-11-29","Utilities"
815,205,12,2,-0.780271178928571,"test.ksvm","2013-06-03to2013-11-29","Utilities"
696,177,131,30,0.429371906782609,"test.nnet","2013-06-03to2013-11-29","Utilities"
820,201,7,6,2.81580228923077,"test.rf","2013-06-03to2013-11-29","Utilities"
821,202,6,5,2.36723261772727,"test.ada","2013-06-03to2013-11-29","Utilities"
824,204,3,3,2.2274047325,"test.voted","2013-06-03to2013-11-29","Utilities"
805,196,22,11,1.07170253742424,"test.voted.prob","2013-06-03to2013-11-29","Utilities"
827,0,0,207,3.87091020628019,"test.actual","2013-09-02to2013-11-29","Utilities"
809,203,18,4,-0.0608441356818182,"test.ksvm","2013-09-02to2013-11-29","Utilities"
703,174,124,33,0.323287886299363,"test.nnet","2013-09-02to2013-11-29","Utilities"
819,201,8,6,2.43070977857143,"test.rf","2013-09-02to2013-11-29","Utilities"
811,195,16,12,2.553369956,"test.ada","2013-09-02to2013-11-29","Utilities"
821,202,6,5,2.20459375454545,"test.voted","2013-09-02to2013-11-29","Utilities"
792,194,35,13,0.6425989178125,"test.voted.prob","2013-09-02to2013-11-29","Utilities"
827,0,0,207,3.87091020628019,"test.actual","2013-11-01to2013-11-29","Utilities"
814,200,13,7,1.173942694,"test.ksvm","2013-11-01to2013-11-29","Utilities"
705,148,122,59,1.08133451820994,"test.nnet","2013-11-01to2013-11-29","Utilities"
723,144,104,63,1.60119227113174,"test.rf","2013-11-01to2013-11-29","Utilities"
773,168,54,39,1.92875894892473,"test.ada","2013-11-01to2013-11-29","Utilities"
800,190,27,17,1.28511163704545,"test.voted","2013-11-01to2013-11-29","Utilities"
765,168,62,39,1.68396282221782,"test.voted.prob","2013-11-01to2013-11-29","Utilities"
2165,0,0,541,9.45525207966728,"test.actual","2013-06-03to2013-11-29","Industrials"
2114,484,51,57,6.56657913185185,"test.ksvm","2013-06-03to2013-11-29","Industrials"
1745,385,420,156,3.3295447224566,"test.nnet","2013-06-03to2013-11-29","Industrials"
2150,467,15,74,9.93525145280899,"test.rf","2013-06-03to2013-11-29","Industrials"
2157,520,8,21,8.03094061724138,"test.ada","2013-06-03to2013-11-29","Industrials"
2162,519,3,22,11.03855334,"test.voted","2013-06-03to2013-11-29","Industrials"
2097,481,68,60,5.97685432492187,"test.voted.prob","2013-06-03to2013-11-29","Industrials"
2165,0,0,541,9.45525207966728,"test.actual","2013-09-02to2013-11-29","Industrials"
2074,463,91,78,5.55301502088757,"test.ksvm","2013-09-02to2013-11-29","Industrials"
1797,391,368,150,3.18905608460039,"test.nnet","2013-09-02to2013-11-29","Industrials"
2104,431,61,110,7.48035934701754,"test.rf","2013-09-02to2013-11-29","Industrials"
2148,506,17,35,8.32674524461538,"test.ada","2013-09-02to2013-11-29","Industrials"
2152,496,13,45,9.61206801896552,"test.voted","2013-09-02to2013-11-29","Industrials"
2088,450,77,91,6.18846939077381,"test.voted.prob","2013-09-02to2013-11-29","Industrials"
2165,0,0,541,9.45525207966728,"test.actual","2013-11-01to2013-11-29","Industrials"
2020,403,145,138,5.54240611618375,"test.ksvm","2013-11-01to2013-11-29","Industrials"
1644,316,521,225,3.4505999119571,"test.nnet","2013-11-01to2013-11-29","Industrials"
2015,401,150,140,5.99366225044828,"test.rf","2013-11-01to2013-11-29","Industrials"
2068,425,97,116,6.41048068516432,"test.ada","2013-11-01to2013-11-29","Industrials"
2091,437,74,104,7.05489934696629,"test.voted","2013-11-01to2013-11-29","Industrials"
2007,386,158,155,6.18566046559105,"test.voted.prob","2013-11-01to2013-11-29","Industrials"
1126,0,0,282,6.63359917269504,"test.actual","2013-06-03to2013-11-29","Energy"
1107,270,19,12,0.0898613132258065,"test.ksvm","2013-06-03to2013-11-29","Energy"
936,231,190,51,-0.150757281473029,"test.nnet","2013-06-03to2013-11-29","Energy"
1126,266,0,16,7.0701099625,"test.rf","2013-06-03to2013-11-29","Energy"
1126,280,0,2,6.16110565,"test.ada","2013-06-03to2013-11-29","Energy"
1126,279,0,3,6.51458503333333,"test.voted","2013-06-03to2013-11-29","Energy"
1104,260,22,22,2.87346068809091,"test.voted.prob","2013-06-03to2013-11-29","Energy"
1126,0,0,282,6.63359917269504,"test.actual","2013-09-02to2013-11-29","Energy"
1103,266,23,16,0.757525691538462,"test.ksvm","2013-09-02to2013-11-29","Energy"
960,209,166,73,0.15593614548954,"test.nnet","2013-09-02to2013-11-29","Energy"
1053,221,73,61,2.10886374758955,"test.rf","2013-09-02to2013-11-29","Energy"
1079,255,47,27,1.44717127372973,"test.ada","2013-09-02to2013-11-29","Energy"
1105,270,21,12,-0.308045978484848,"test.voted","2013-09-02to2013-11-29","Energy"
1096,259,30,23,0.395521377169811,"test.voted.prob","2013-09-02to2013-11-29","Energy"
1126,0,0,282,6.63359917269504,"test.actual","2013-11-01to2013-11-29","Energy"
1045,196,81,86,3.30161829476647,"test.ksvm","2013-11-01to2013-11-29","Energy"
915,178,211,104,1.15568593446032,"test.nnet","2013-11-01to2013-11-29","Energy"
1040,161,86,121,3.61945580874879,"test.rf","2013-11-01to2013-11-29","Energy"
1060,191,66,91,3.61246288461783,"test.ada","2013-11-01to2013-11-29","Energy"
1093,207,33,75,4.6551450299537,"test.voted","2013-11-01to2013-11-29","Energy"
1049,193,77,89,3.4053995238253,"test.voted.prob","2013-11-01to2013-11-29","Energy"
1056,0,0,264,8.9738230375,"test.actual","2013-06-03to2013-11-29","Materials"
1048,245,8,19,7.85511913703704,"test.ksvm","2013-06-03to2013-11-29","Materials"
842,221,214,43,0.530903900007782,"test.nnet","2013-06-03to2013-11-29","Materials"
1023,206,33,58,7.56566299245055,"test.rf","2013-06-03to2013-11-29","Materials"
1046,250,10,14,6.78306048541667,"test.ada","2013-06-03to2013-11-29","Materials"
1047,253,9,11,6.5199289375,"test.voted","2013-06-03to2013-11-29","Materials"
1019,233,37,31,4.12816170367647,"test.voted.prob","2013-06-03to2013-11-29","Materials"
1056,0,0,264,8.9738230375,"test.actual","2013-09-02to2013-11-29","Materials"
1038,232,18,32,7.152255308,"test.ksvm","2013-09-02to2013-11-29","Materials"
862,200,194,64,2.29810083641085,"test.nnet","2013-09-02to2013-11-29","Materials"
993,195,63,69,5.04335123381061,"test.rf","2013-09-02to2013-11-29","Materials"
1049,230,7,34,9.37415244756098,"test.ada","2013-09-02to2013-11-29","Materials"
1042,232,14,32,7.38245003913043,"test.voted","2013-09-02to2013-11-29","Materials"
1017,228,39,36,5.5493165836,"test.voted.prob","2013-09-02to2013-11-29","Materials"
1056,0,0,264,8.9738230375,"test.actual","2013-11-01to2013-11-29","Materials"
997,204,59,60,5.42237577731092,"test.ksvm","2013-11-01to2013-11-29","Materials"
843,182,213,82,2.21093862635932,"test.nnet","2013-11-01to2013-11-29","Materials"
937,171,119,93,4.68919636246226,"test.rf","2013-11-01to2013-11-29","Materials"
992,193,64,71,4.6075870180963,"test.ada","2013-11-01to2013-11-29","Materials"
1006,202,50,62,5.82002112083036,"test.voted","2013-11-01to2013-11-29","Materials"
958,194,98,70,4.30613794433929,"test.voted.prob","2013-11-01to2013-11-29","Materials"
897,0,0,225,7.26403727911111,"test.actual","2013-06-03to2013-11-29","Consumer Staples"
871,179,26,46,4.54986068125,"test.ksvm","2013-06-03to2013-11-29","Consumer Staples"
747,125,150,100,1.944410411144,"test.nnet","2013-06-03to2013-11-29","Consumer Staples"
874,167,23,58,4.52082163744444,"test.rf","2013-06-03to2013-11-29","Consumer Staples"
861,198,36,27,0.787582548888889,"test.ada","2013-06-03to2013-11-29","Consumer Staples"
889,197,8,28,6.39315406583333,"test.voted","2013-06-03to2013-11-29","Consumer Staples"
863,160,34,65,4.18494665424242,"test.voted.prob","2013-06-03to2013-11-29","Consumer Staples"
897,0,0,225,7.26403727911111,"test.actual","2013-09-02to2013-11-29","Consumer Staples"
882,179,15,46,6.08247263065574,"test.ksvm","2013-09-02to2013-11-29","Consumer Staples"
725,141,172,84,0.662993388164063,"test.nnet","2013-09-02to2013-11-29","Consumer Staples"
882,169,15,56,5.12129436384507,"test.rf","2013-09-02to2013-11-29","Consumer Staples"
877,190,20,35,3.211418934,"test.ada","2013-09-02to2013-11-29","Consumer Staples"
890,194,7,31,7.17352155184211,"test.voted","2013-09-02to2013-11-29","Consumer Staples"
858,168,39,57,3.62243230385417,"test.voted.prob","2013-09-02to2013-11-29","Consumer Staples"
897,0,0,225,7.26403727911111,"test.actual","2013-11-01to2013-11-29","Consumer Staples"
852,156,45,69,4.50600128230702,"test.ksvm","2013-11-01to2013-11-29","Consumer Staples"
765,136,132,89,1.64999295527602,"test.nnet","2013-11-01to2013-11-29","Consumer Staples"
845,137,52,88,3.61201791737857,"test.rf","2013-11-01to2013-11-29","Consumer Staples"
863,171,34,54,3.23637795367045,"test.ada","2013-11-01to2013-11-29","Consumer Staples"
877,165,20,60,5.067087318375,"test.voted","2013-11-01to2013-11-29","Consumer Staples"
861,155,36,70,3.80976423710377,"test.voted.prob","2013-11-01to2013-11-29","Consumer Staples"
